id;date;username;untitle;kind;tweet
2364711;2.08.2018 16:11;HasbullahIdris7;808;metoo;If the Harvey Weinstein scandal with the #MeToo movement buat dekat Malaysia banyak la nama2 besar yang akan kantoi? https://t.co/Z4CX8wfLSh
2364615;2.08.2018 16:05;TweetSoCrazy;171;metoo;"RT @MAKERSwomen: Boo f***ing hoo"" - Marcia Clark when asked how she felt about men who may be afraid to work with women after the #MeToo m?"""
2364592;2.08.2018 16:04;dianeshipley;2625;metoo;?I think it?s about fucking time, that?s what I think.? ? Rita Moreno on #metoo on WTF. ?
2364573;2.08.2018 16:04;HarshaCharles;28;metoo;@ClayTravis @Outkick how crazy would Steve Urkel be viewed if he was on TV? #MeToo #dbap
2364569;2.08.2018 16:04;FLAREfashion;133319;metoo;In the midst of #MeToo, Ross Gellar is a pretty awesome ally (cc @DavidSchwimmer) https://t.co/LcgpmP2Xlw
2364563;2.08.2018 16:04;menandfamilies;808;metoo;No evidence against Woody Allen and allegations dismissed by police...yet the list of actors refusing to work with? https://t.co/nSpi9vWI1p
2355278;2.07.2018 22:43;LS3841;771;metoo;RT @JackiePhamotse: Copies of BARE can be found at @exclusivebooks @africanflavourbooks @AfroKulcha or email info@jackiephamotse.com / 0796?
2336940;2.05.2018 17:37;blacksydnei;85;metoo;RT @TMZ: Republic Records Honcho Charlie Walk, Alleged Extortionist Left #MeToo Threat on Voicemail https://t.co/kAiDHYQ5or
2304708;2.01.2018 09:07;LGBTQ_Research;1815;metoo;RT @youngwomxnlead: We are starting community consultations for our sexual violence support toolkit in February
2033248;1.05.2018 13:16;leftofdems;886;metoo;RT @Colorado4Bernie: Sen. Grassley says  former FBI Director James Comey likely leaked classified information
2022171;1.04.2018 13:03;By_CJewett;4742;metoo;@nelsen_andrea Hoping to reach you -- Im working on a story about #metoo medicine. Email is christinaj@kff.org . Thanks!
1387487;11.08.2017 15:30;amymariewillard;3858;metoo;RT @Pjotre7: Connect the dots ... Why are arrested child trafficker Tony Podesta and Charlie Sheen connected? See podesta@winning.com email?
1322013;10/30/2017 17:28;TPRSource;2037;metoo;TUES | More Than #MeToo: What can be done in response to sexual harassment? ?Leave a voicemail at 210-615-8982! https://t.co/vgrZwu2Tle
2361223;2.08.2018 09:19;kchon_kchiz;529;metoo;Why Its Harder Being A Gay Model #MeToo | Barrett Pall https://t.co/nSKcOujAEX v?a @YouTube
2278191;1/29/2018 5:50;ALBELLFIELD;1200;metoo;EPISODE 44:  Race, Sexism, &amp
2231840;1/23/2018 16:43;SayNO2HIV;381;metoo;Im an HIV+ (since 1983) gay male and stage 4 cancer survivor. I own the largest LGBTQ website in the Tampa Bay, Fl? https://t.co/1wVYxiLXN7
2251438;1/25/2018 12:53;giggitygrove;9;metoo;RT @Baddwick: Tatjana Liepelt fired assistant/ex hookup
2143225;1/15/2018 5:46;dashingdesiree;457;metoo;RT @TheCut: Floyd Mayweather was asked about the #MeToo movement and gave an answer about private jets, cars, and a billion dollars https:/?
